Daily_Check-In_Quiz_Weights__Final_Version_
Habit Name,Habit Type,User Input Score,Adjusted Score Used,Weight Applied
Sleep quality,Positive,1,1,0.90
Sleep quality,Positive,2,2,0.93
Sleep quality,Positive,3,3,0.94
Sleep quality,Positive,4,4,0.95
Sleep quality,Positive,5,5,0.97
Sleep quality,Positive,6,6,0.99
Sleep quality,Positive,7,7,1.0
Sleep quality,Positive,8,8,1.03
Sleep quality,Positive,9,9,1.07
Sleep quality,Positive,10,10,1.12
Sunlight exposure,Positive,1,1,0.91
Sunlight exposure,Positive,2,2,0.93
Sunlight exposure,Positive,3,3,0.94
Sunlight exposure,Positive,4,4,0.95
Sunlight exposure,Positive,5,5,0.97
Sunlight exposure,Positive,6,6,0.99
Sunlight exposure,Positive,7,7,1.01
Sunlight exposure,Positive,8,8,1.03
Sunlight exposure,Positive,9,9,1.05
Sunlight exposure,Positive,10,10,1.07
Workout intensity,Positive,1,1,0.89
Workout intensity,Positive,2,2,0.91
Workout intensity,Positive,3,3,0.92
Workout intensity,Positive,4,4,0.93
Workout intensity,Positive,5,5,0.96
Workout intensity,Positive,6,6,0.99
Workout intensity,Positive,7,7,1.01
Workout intensity,Positive,8,8,1.03
Workout intensity,Positive,9,9,1.08
Workout intensity,Positive,10,10,1.10
Step count,Positive,1,1,0.90
Step count,Positive,2,2,0.91
Step count,Positive,3,3,0.93
Step count,Positive,4,4,0.95
Step count,Positive,5,5,0.97
Step count,Positive,6,6,0.98
Step count,Positive,7,7,1.0
Step count,Positive,8,8,1.02
Step count,Positive,9,9,1.04
Step count,Positive,10,10,1.05
Work focus,Positive,1,1,0.92
Work focus,Positive,2,2,0.93
Work focus,Positive,3,3,0.94
Work focus,Positive,4,4,0.96
Work focus,Positive,5,5,0.98
Work focus,Positive,6,6,0.99
Work focus,Positive,7,7,1.01
Work focus,Positive,8,8,1.02
Work focus,Positive,9,9,1.03
Work focus,Positive,10,10,1.04
Diet cleanliness,Positive,1,1,0.89
Diet cleanliness,Positive,2,2,0.91
Diet cleanliness,Positive,3,3,0.92
Diet cleanliness,Positive,4,4,0.94
Diet cleanliness,Positive,5,5,0.96
Diet cleanliness,Positive,6,6,0.98
Diet cleanliness,Positive,7,7,1.0
Diet cleanliness,Positive,8,8,1.02
Diet cleanliness,Positive,9,9,1.04
Diet cleanliness,Positive,10,10,1.07
Vitamin & mineral intake,Positive,1,1,0.90
Vitamin & mineral intake,Positive,2,2,0.91
Vitamin & mineral intake,Positive,3,3,0.92
Vitamin & mineral intake,Positive,4,4,0.95
Vitamin & mineral intake,Positive,5,5,0.96
Vitamin & mineral intake,Positive,6,6,0.98
Vitamin & mineral intake,Positive,7,7,1.0
Vitamin & mineral intake,Positive,8,8,1.02
Vitamin & mineral intake,Positive,9,9,1.04
Vitamin & mineral intake,Positive,10,10,1.05
Fasting duration,Positive,1,1,0.91
Fasting duration,Positive,2,2,0.92
Fasting duration,Positive,3,3,0.93
Fasting duration,Positive,4,4,0.94
Fasting duration,Positive,5,5,0.96
Fasting duration,Positive,6,6,0.99
Fasting duration,Positive,7,7,1.01
Fasting duration,Positive,8,8,1.02
Fasting duration,Positive,9,9,1.04
Fasting duration,Positive,10,10,1.05
Water intake,Positive,1,1,0.90
Water intake,Positive,2,2,0.92
Water intake,Positive,3,3,0.93
Water intake,Positive,4,4,0.95
Water intake,Positive,5,5,0.97
Water intake,Positive,6,6,0.98
Water intake,Positive,7,7,1.01
Water intake,Positive,8,8,1.02
